agent\.id,agent\.name,rule\.level,rule\.id,rule\.mitre\.tactic,rule\.mitre\.id,timestamp
002,DESKTOP-B2K36HT,12,92057,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 20:42:23.298"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:45:33.935"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:45:39.897"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:45:39.951"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 20:44:10.852"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 20:43:24.225"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:46:44.278"
002,DESKTOP-B2K36HT,3,60642, , ,"Oct 1, 2025 @ 20:49:56.021"
002,DESKTOP-B2K36HT,3,60642, , ,"Oct 1, 2025 @ 20:51:32.505"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:43:33.607"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:48:34.147"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:49:34.270"
002,DESKTOP-B2K36HT,13,100080,"[""Defense Evasion""]","[""T1562.001""]","Oct 1, 2025 @ 21:11:12.219"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.252"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.301"
002,DESKTOP-B2K36HT,12,92057,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 21:11:12.402"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.428"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:09:31.986"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:09:32.027"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:09:32.027"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 21:09:35.285"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.396"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.431"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:20.829"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:21.692"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:21.793"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:09.620"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:09.636"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:54:07.116"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:54:34.704"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:56:35.046"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:59:35.276"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:11:36.286"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:13:50.263"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 21:13:50.456"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 21:13:50.498"
002,DESKTOP-B2K36HT,13,100080,"[""Defense Evasion""]","[""T1562.001""]","Oct 1, 2025 @ 21:13:50.698"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:51.304"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:13:55.221"
002,DESKTOP-B2K36HT,12,100010,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 20:42:23.222"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:42:23.254"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:42:23.298"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 20:44:10.836"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 20:42:03.517"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:42:33.475"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:44:33.833"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:46:34.014"
002,DESKTOP-B2K36HT,11,100141,"[""Defense Evasion""]","[""T1070.003""]","Oct 1, 2025 @ 20:46:44.271"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 20:48:03.383"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:02.873"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:02.873"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:09.605"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:17.878"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:47:34.046"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:55:34.858"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:57:35.074"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:58:35.170"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:51:34.430"
002,DESKTOP-B2K36HT,12,100010,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 21:09:35.240"
002,DESKTOP-B2K36HT,13,100080,"[""Defense Evasion""]","[""T1562.001""]","Oct 1, 2025 @ 21:09:35.302"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.321"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.341"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:09:35.379"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.466"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:09:36.104"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:11:08.431"
002,DESKTOP-B2K36HT,15,100202,"[""Defense Evasion""]","[""T1070""]","Oct 1, 2025 @ 21:11:12.189"
002,DESKTOP-B2K36HT,12,100010,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 21:11:12.204"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:11:12.235"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.347"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:50.790"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:50.855"
